rank,gid,role,priority_score,why
1,100000008346837100,coordinator,0.539262603788534,PR_norm=0.0903 × 0.4; BC_norm=1.0000 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0312 × 0.1
2,100000003016635100,coordinator,0.5195850050792219,PR_norm=0.1964 × 0.4; BC_norm=0.8034 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
3,100000008603629100,coordinator,0.47109359162708003,PR_norm=0.1967 × 0.4; BC_norm=0.6414 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
4,100000006866783100,coordinator,0.45938557720165224,PR_norm=0.1436 × 0.4; BC_norm=0.6731 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
5,100000000706545100,consolidator,0.4494238305844283,PR_norm=0.5386 × 0.4; BC_norm=0.0022 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.3333 × 0.1
6,100000005910114100,coordinator,0.4281154067317016,PR_norm=0.0597 × 0.4; BC_norm=0.6505 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0909 × 0.1
7,100000004603109100,consolidator,0.4121581433298602,PR_norm=0.5303 × 0.4; BC_norm=0.0001 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
8,100000003684369100,coordinator,0.4114651960802966,PR_norm=0.3334 × 0.4; BC_norm=0.2564 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0118 × 0.1
9,100000000331309100,coordinator,0.4100287318938034,PR_norm=0.1445 × 0.4; BC_norm=0.5074 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
10,100000002224132100,peripheral,0.40020849072067727,PR_norm=1.0000 × 0.4; BC_norm=0.0007 × 0.3; роль=peripheral (0 × 0.2); доля seed-соседей=0.0000 × 0.1
11,100000005933757100,coordinator,0.3959559919801641,PR_norm=0.1648 × 0.4; BC_norm=0.4334 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
12,100000004015047100,consolidator,0.384380106134116,PR_norm=0.3757 × 0.4; BC_norm=0.0025 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.3333 × 0.1
13,100000002957787100,coordinator,0.3833772047523141,PR_norm=0.1013 × 0.4; BC_norm=0.4762 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
14,100000002838861100,consolidator,0.38160974205719944,PR_norm=0.3524 × 0.4; BC_norm=0.0022 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.4000 × 0.1
15,100000008636603100,coordinator,0.38128082092434956,PR_norm=0.0559 × 0.4; BC_norm=0.3869 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.4286 × 0.1
16,100000004403675100,coordinator,0.3794655132162311,PR_norm=0.1221 × 0.4; BC_norm=0.3104 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.3750 × 0.1
17,100000000661912100,coordinator,0.3774584658608218,PR_norm=0.2906 × 0.4; BC_norm=0.1485 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.1667 × 0.1
18,100000008477350100,coordinator,0.35235071991997763,PR_norm=0.1707 × 0.4; BC_norm=0.2803 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
19,100000004330371100,coordinator,0.3440708250704561,PR_norm=0.2072 × 0.4; BC_norm=0.0373 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.5000 × 0.1
20,100000003701161100,coordinator,0.3362697692540552,PR_norm=0.2729 × 0.4; BC_norm=0.0237 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.2000 × 0.1
21,100000008751429100,consolidator,0.33355599220128207,PR_norm=0.2506 × 0.4; BC_norm=0.0000 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.3333 × 0.1
22,100000002870463100,consolidator,0.3291709681376615,PR_norm=0.3213 × 0.4; BC_norm=0.0022 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
23,100000004156082100,coordinator,0.3287085094226699,PR_norm=0.1431 × 0.4; BC_norm=0.2271 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0333 × 0.1
24,100000003115284100,consolidator,0.32737128530257603,PR_norm=0.2522 × 0.4; BC_norm=0.0142 × 0.3; роль=consolidator (1 × 0.2); доля seed-соседей=0.2222 × 0.1
25,100000000437046100,coordinator,0.3257073355984833,PR_norm=0.1308 × 0.4; BC_norm=0.2446 × 0.3; роль=coordinator (1 × 0.2); доля seed-соседей=0.0000 × 0.1
